2023-07-13 21:35:21.411101 Antivorovator.py started
2023-07-13 21:35:21.411900 Configuration:{Datacenter:chelyabinsk, NodeName:lkps3, SubSystem:lkps, ControlPoint:3}
2023-07-13 21:35:21.412005 Try to get MetricsUrl
2023-07-13 21:35:21.431055 succesfully get MetricsUrl: http://localhost:27156/metrics
2023-07-13 21:35:21.444037 SecurityChannelState: 1
2023-07-13 21:35:36.514769 SecurityChannelState: 1
2023-07-13 21:35:51.582842 SecurityChannelState: 1
2023-07-13 21:36:06.638188 SecurityChannelState: 1
2023-07-13 21:36:21.694870 SecurityChannelState: 1
2023-07-13 21:36:36.750768 SecurityChannelState: 1
2023-07-13 21:36:51.806784 SecurityChannelState: 1
2023-07-13 21:37:06.878713 SecurityChannelState: 1
2023-07-13 21:37:21.946311 SecurityChannelState: 1
2023-07-13 21:37:37.002734 SecurityChannelState: 1
2023-07-13 21:37:52.066672 SecurityChannelState: 1
2023-07-13 21:38:07.134589 SecurityChannelState: 1
2023-07-13 21:38:22.204366 SecurityChannelState: 1
2023-07-13 21:38:37.274639 SecurityChannelState: 1
2023-07-13 21:38:52.338855 SecurityChannelState: 1
2023-07-13 21:39:07.402756 SecurityChannelState: 1
2023-07-13 21:39:22.470604 SecurityChannelState: 1
2023-07-13 21:39:37.541412 SecurityChannelState: 1
2023-07-13 21:39:52.606617 SecurityChannelState: 1
2023-07-13 21:40:07.674876 SecurityChannelState: 1
2023-07-13 21:40:22.742789 SecurityChannelState: 1
2023-07-13 21:40:37.810724 SecurityChannelState: 1
2023-07-13 21:40:52.878858 SecurityChannelState: 1
2023-07-13 21:41:07.938659 SecurityChannelState: 1
2023-07-13 21:41:23.006118 SecurityChannelState: 1
2023-07-13 21:41:38.074623 SecurityChannelState: 1
2023-07-13 21:41:53.142700 SecurityChannelState: 1
2023-07-13 21:42:08.214834 SecurityChannelState: 1
2023-07-13 21:42:23.277668 SecurityChannelState: 1
2023-07-13 21:42:38.346667 SecurityChannelState: 1
2023-07-13 21:42:53.414649 SecurityChannelState: 1
2023-07-13 21:43:08.473772 SecurityChannelState: 1
2023-07-13 21:43:23.534675 SecurityChannelState: 1
2023-07-13 21:43:38.602264 SecurityChannelState: 1
2023-07-13 21:43:53.670798 SecurityChannelState: 1
2023-07-13 21:44:08.738697 SecurityChannelState: 1
2023-07-13 21:44:23.806523 SecurityChannelState: 1
2023-07-13 21:44:38.874372 SecurityChannelState: 1
2023-07-13 21:44:53.942682 SecurityChannelState: 1
2023-07-13 21:45:09.006610 SecurityChannelState: 1
2023-07-13 21:45:24.074714 SecurityChannelState: 1
2023-07-13 21:45:39.142648 SecurityChannelState: 1
2023-07-13 21:45:54.202637 SecurityChannelState: 1
2023-07-13 21:46:09.270683 SecurityChannelState: 1
2023-07-13 21:46:24.342706 SecurityChannelState: 1
2023-07-13 21:46:39.406096 SecurityChannelState: 1
2023-07-13 21:46:54.474641 SecurityChannelState: 1
2023-07-13 21:47:09.542365 SecurityChannelState: 1
2023-07-13 21:47:24.610848 SecurityChannelState: 1
2023-07-13 21:47:39.678664 SecurityChannelState: 1
2023-07-13 21:47:54.746813 SecurityChannelState: 1
2023-07-13 21:48:09.810083 SecurityChannelState: 1
2023-07-13 21:48:24.866348 SecurityChannelState: 1
2023-07-13 21:48:39.930697 SecurityChannelState: 1
2023-07-13 21:48:54.990085 SecurityChannelState: 1
2023-07-13 21:49:10.057261 SecurityChannelState: 1
2023-07-13 21:49:25.122683 SecurityChannelState: 1
2023-07-13 21:49:40.186848 SecurityChannelState: 1
2023-07-13 21:49:55.246797 SecurityChannelState: 1
2023-07-13 21:50:10.314749 SecurityChannelState: 1
2023-07-13 21:50:25.375196 SecurityChannelState: 1
2023-07-13 21:50:40.442793 SecurityChannelState: 1
2023-07-13 21:50:55.510772 SecurityChannelState: 1
2023-07-13 21:51:10.578741 SecurityChannelState: 1
2023-07-13 21:51:25.642675 SecurityChannelState: 1
2023-07-13 21:51:40.710752 SecurityChannelState: 1
2023-07-13 21:51:55.778674 SecurityChannelState: 1
