2023-07-13 21:35:23.931035 Antivorovator.py started
2023-07-13 21:35:23.931815 Configuration:{Datacenter:habr, NodeName:lkps1, SubSystem:lkps, ControlPoint:1}
2023-07-13 21:35:23.931926 Try to get MetricsUrl
2023-07-13 21:35:23.949142 succesfully get MetricsUrl: http://localhost:26269/metrics
2023-07-13 21:35:24.001323 SecurityChannelState: 1
2023-07-13 21:35:39.069191 SecurityChannelState: 1
2023-07-13 21:35:54.137825 SecurityChannelState: 1
2023-07-13 21:36:09.205574 SecurityChannelState: 1
2023-07-13 21:36:24.281611 SecurityChannelState: 1
2023-07-13 21:36:39.345493 SecurityChannelState: 1
2023-07-13 21:36:54.413279 SecurityChannelState: 1
2023-07-13 21:37:09.476278 SecurityChannelState: 1
2023-07-13 21:37:24.541344 SecurityChannelState: 1
2023-07-13 21:37:39.597184 SecurityChannelState: 1
2023-07-13 21:37:54.665698 SecurityChannelState: 1
2023-07-13 21:38:09.724736 SecurityChannelState: 1
2023-07-13 21:38:24.793156 SecurityChannelState: 1
2023-07-13 21:38:39.860566 SecurityChannelState: 1
2023-07-13 21:38:54.916146 SecurityChannelState: 1
2023-07-13 21:39:09.984428 SecurityChannelState: 1
2023-07-13 21:39:25.049447 SecurityChannelState: 1
2023-07-13 21:39:40.116824 SecurityChannelState: 1
2023-07-13 21:39:55.179649 SecurityChannelState: 1
2023-07-13 21:40:10.241661 SecurityChannelState: 1
2023-07-13 21:40:25.309333 SecurityChannelState: 1
2023-07-13 21:40:40.380571 SecurityChannelState: 1
2023-07-13 21:40:55.449096 SecurityChannelState: 1
2023-07-13 21:41:10.513134 SecurityChannelState: 1
2023-07-13 21:41:25.580013 SecurityChannelState: 1
2023-07-13 21:41:40.640446 SecurityChannelState: 1
2023-07-13 21:41:55.704788 SecurityChannelState: 1
2023-07-13 21:42:10.773448 SecurityChannelState: 1
2023-07-13 21:42:25.844681 SecurityChannelState: 1
2023-07-13 21:42:40.904891 SecurityChannelState: 1
2023-07-13 21:42:55.964915 SecurityChannelState: 1
2023-07-13 21:43:11.033463 SecurityChannelState: 1
2023-07-13 21:43:26.097407 SecurityChannelState: 1
2023-07-13 21:43:41.165393 SecurityChannelState: 1
2023-07-13 21:43:56.233060 SecurityChannelState: 1
2023-07-13 21:44:11.300615 SecurityChannelState: 1
2023-07-13 21:44:26.364888 SecurityChannelState: 1
2023-07-13 21:44:41.425077 SecurityChannelState: 1
2023-07-13 21:44:56.489047 SecurityChannelState: 1
2023-07-13 21:45:11.557372 SecurityChannelState: 1
2023-07-13 21:45:26.628903 SecurityChannelState: 1
2023-07-13 21:45:41.697724 SecurityChannelState: 1
2023-07-13 21:45:56.765412 SecurityChannelState: 1
2023-07-13 21:46:11.825151 SecurityChannelState: 1
2023-07-13 21:46:26.888932 SecurityChannelState: 1
2023-07-13 21:46:41.957194 SecurityChannelState: 1
2023-07-13 21:46:56.987492 SecurityChannelState: 1
2023-07-13 21:47:12.049076 SecurityChannelState: 1
2023-07-13 21:47:27.117057 SecurityChannelState: 1
2023-07-13 21:47:42.177472 SecurityChannelState: 1
2023-07-13 21:47:57.244800 SecurityChannelState: 1
2023-07-13 21:48:12.299690 SecurityChannelState: 1
2023-07-13 21:48:27.368793 SecurityChannelState: 1
2023-07-13 21:48:42.437998 SecurityChannelState: 1
2023-07-13 21:48:57.500634 SecurityChannelState: 1
2023-07-13 21:49:12.573739 SecurityChannelState: 1
2023-07-13 21:49:27.640794 SecurityChannelState: 1
2023-07-13 21:49:42.705276 SecurityChannelState: 1
2023-07-13 21:49:57.769261 SecurityChannelState: 1
2023-07-13 21:50:12.837210 SecurityChannelState: 1
2023-07-13 21:50:27.904396 SecurityChannelState: 1
2023-07-13 21:50:42.973086 SecurityChannelState: 1
2023-07-13 21:50:58.037397 SecurityChannelState: 1
2023-07-13 21:51:13.096748 SecurityChannelState: 1
2023-07-13 21:51:28.160450 SecurityChannelState: 1
2023-07-13 21:51:43.223993 SecurityChannelState: 1
2023-07-13 21:51:58.289504 SecurityChannelState: 1
2023-07-13 21:52:13.352962 SecurityChannelState: 1
2023-07-13 21:52:28.416980 SecurityChannelState: 1
2023-07-13 21:52:43.485207 SecurityChannelState: 1
2023-07-13 21:52:58.554595 SecurityChannelState: 1
2023-07-13 21:53:13.625048 SecurityChannelState: 1
2023-07-13 21:53:28.693823 SecurityChannelState: 1
2023-07-13 21:53:43.764855 SecurityChannelState: 1
2023-07-13 21:53:58.831306 SecurityChannelState: 1
2023-07-13 21:54:13.900908 SecurityChannelState: 1
2023-07-13 21:54:28.969027 SecurityChannelState: 1
2023-07-13 21:54:44.024479 SecurityChannelState: 1
2023-07-13 21:54:59.091070 SecurityChannelState: 1
2023-07-13 21:55:14.156334 SecurityChannelState: 1
2023-07-13 21:55:29.227472 SecurityChannelState: 1
2023-07-13 21:55:44.292826 SecurityChannelState: 1
2023-07-13 21:55:59.357053 SecurityChannelState: 1
2023-07-13 21:56:14.424747 SecurityChannelState: 1
2023-07-13 21:56:29.493232 SecurityChannelState: 1
2023-07-13 21:56:44.565088 SecurityChannelState: 1
2023-07-13 21:56:59.625715 SecurityChannelState: 1
2023-07-13 21:57:14.696636 SecurityChannelState: 1
2023-07-13 21:57:29.760611 SecurityChannelState: 1
2023-07-13 21:57:44.828800 SecurityChannelState: 1
2023-07-13 21:57:59.897625 SecurityChannelState: 1
2023-07-13 21:58:14.969092 SecurityChannelState: 1
2023-07-13 21:58:29.998563 SecurityChannelState: 1
2023-07-13 21:58:45.057208 SecurityChannelState: 1
2023-07-13 21:59:00.127984 SecurityChannelState: 1
2023-07-13 21:59:15.188405 SecurityChannelState: 1
2023-07-13 21:59:30.251680 SecurityChannelState: 1
2023-07-13 21:59:45.316781 SecurityChannelState: 1
2023-07-13 22:00:00.384687 SecurityChannelState: 1
2023-07-13 22:00:15.456618 SecurityChannelState: 1
2023-07-13 22:00:30.530305 SecurityChannelState: 1
2023-07-13 22:00:45.560005 SecurityChannelState: 1
2023-07-13 22:01:00.623341 SecurityChannelState: 1
2023-07-13 22:01:15.689660 SecurityChannelState: 1
2023-07-13 22:01:30.761187 SecurityChannelState: 1
2023-07-13 22:01:45.824982 SecurityChannelState: 1
2023-07-13 22:02:00.889327 SecurityChannelState: 1
2023-07-13 22:02:15.944481 SecurityChannelState: 1
2023-07-13 22:02:31.008671 SecurityChannelState: 1
2023-07-13 22:02:46.081274 SecurityChannelState: 1
2023-07-13 22:03:01.148892 SecurityChannelState: 1
2023-07-13 22:03:16.212407 SecurityChannelState: 1
2023-07-13 22:03:31.272709 SecurityChannelState: 1
2023-07-13 22:03:46.330168 SecurityChannelState: 1
2023-07-13 22:04:01.384980 SecurityChannelState: 1
2023-07-13 22:04:16.445091 SecurityChannelState: 1
2023-07-13 22:04:31.509837 SecurityChannelState: 1
2023-07-13 22:04:46.576092 SecurityChannelState: 1
2023-07-13 22:05:01.638775 SecurityChannelState: 1
2023-07-13 22:05:16.705583 SecurityChannelState: 1
2023-07-13 22:05:31.776951 SecurityChannelState: 1
2023-07-13 22:05:46.848584 SecurityChannelState: 1
2023-07-13 22:06:01.917519 SecurityChannelState: 1
2023-07-13 22:06:16.989667 SecurityChannelState: 1
2023-07-13 22:06:32.057726 SecurityChannelState: 1
2023-07-13 22:06:47.129811 SecurityChannelState: 1
2023-07-13 22:07:02.196235 SecurityChannelState: 1
2023-07-13 22:07:17.264816 SecurityChannelState: 1
2023-07-13 22:07:32.333321 SecurityChannelState: 1
2023-07-13 22:07:47.400891 SecurityChannelState: 1
2023-07-13 22:08:02.464654 SecurityChannelState: 1
2023-07-13 22:08:17.528704 SecurityChannelState: 1
2023-07-13 22:08:32.601044 SecurityChannelState: 1
2023-07-13 22:08:47.656694 SecurityChannelState: 1
2023-07-13 22:09:02.726022 SecurityChannelState: 1
2023-07-13 22:09:17.788409 SecurityChannelState: 1
2023-07-13 22:09:32.848535 SecurityChannelState: 1
2023-07-13 22:09:47.908605 SecurityChannelState: 1
2023-07-13 22:10:02.976645 SecurityChannelState: 1
2023-07-13 22:10:18.043077 SecurityChannelState: 1
2023-07-13 22:10:33.108657 SecurityChannelState: 1
2023-07-13 22:10:48.178114 SecurityChannelState: 1
2023-07-13 22:11:03.249041 SecurityChannelState: 1
