2023-07-13 21:35:19.784069 Antivorovator.py started
2023-07-13 21:35:19.784308 Configuration:{Datacenter:krasnoyarsk, NodeName:lkps2, SubSystem:lkps, ControlPoint:2}
2023-07-13 21:35:19.784455 Try to get MetricsUrl
2023-07-13 21:35:19.796537 succesfully get MetricsUrl: http://localhost:24902/metrics
2023-07-13 21:35:19.848248 SecurityChannelState: 1
2023-07-13 21:35:34.914512 SecurityChannelState: 1
2023-07-13 21:35:49.978013 SecurityChannelState: 1
2023-07-13 21:36:05.040451 SecurityChannelState: 1
2023-07-13 21:36:20.113795 SecurityChannelState: 1
2023-07-13 21:36:35.181891 SecurityChannelState: 1
2023-07-13 21:36:50.250039 SecurityChannelState: 1
2023-07-13 21:37:05.316206 SecurityChannelState: 1
2023-07-13 21:37:20.385364 SecurityChannelState: 1
2023-07-13 21:37:35.452227 SecurityChannelState: 1
2023-07-13 21:37:50.521355 SecurityChannelState: 1
2023-07-13 21:38:05.588098 SecurityChannelState: 1
2023-07-13 21:38:20.653923 SecurityChannelState: 1
2023-07-13 21:38:35.720301 SecurityChannelState: 1
2023-07-13 21:38:50.786448 SecurityChannelState: 1
2023-07-13 21:39:05.856173 SecurityChannelState: 1
2023-07-13 21:39:20.921631 SecurityChannelState: 1
2023-07-13 21:39:35.986542 SecurityChannelState: 1
2023-07-13 21:39:51.050894 SecurityChannelState: 1
2023-07-13 21:40:06.118021 SecurityChannelState: 1
2023-07-13 21:40:21.182080 SecurityChannelState: 1
2023-07-13 21:40:36.250249 SecurityChannelState: 1
2023-07-13 21:40:51.314685 SecurityChannelState: 1
2023-07-13 21:41:06.382007 SecurityChannelState: 1
2023-07-13 21:41:21.448087 SecurityChannelState: 1
2023-07-13 21:41:36.512648 SecurityChannelState: 1
2023-07-13 21:41:51.581744 SecurityChannelState: 1
2023-07-13 21:42:06.644344 SecurityChannelState: 1
2023-07-13 21:42:21.713724 SecurityChannelState: 1
2023-07-13 21:42:36.778583 SecurityChannelState: 1
2023-07-13 21:42:51.844405 SecurityChannelState: 1
2023-07-13 21:43:06.909943 SecurityChannelState: 1
2023-07-13 21:43:21.977949 SecurityChannelState: 1
2023-07-13 21:43:37.044854 SecurityChannelState: 1
2023-07-13 21:43:52.109564 SecurityChannelState: 1
2023-07-13 21:44:07.177271 SecurityChannelState: 1
2023-07-13 21:44:22.242709 SecurityChannelState: 1
2023-07-13 21:44:37.308334 SecurityChannelState: 1
2023-07-13 21:44:52.374293 SecurityChannelState: 1
2023-07-13 21:45:07.438003 SecurityChannelState: 1
2023-07-13 21:45:22.508182 SecurityChannelState: 1
2023-07-13 21:45:37.578132 SecurityChannelState: 1
2023-07-13 21:45:52.642362 SecurityChannelState: 1
2023-07-13 21:46:07.705546 SecurityChannelState: 1
2023-07-13 21:46:22.770277 SecurityChannelState: 1
2023-07-13 21:46:37.839031 SecurityChannelState: 1
2023-07-13 21:46:52.906348 SecurityChannelState: 1
2023-07-13 21:47:07.977419 SecurityChannelState: 1
2023-07-13 21:47:23.042599 SecurityChannelState: 1
2023-07-13 21:47:38.108526 SecurityChannelState: 1
2023-07-13 21:47:53.178109 SecurityChannelState: 1
2023-07-13 21:48:08.246205 SecurityChannelState: 1
2023-07-13 21:48:23.310150 SecurityChannelState: 1
2023-07-13 21:48:38.376073 SecurityChannelState: 1
2023-07-13 21:48:53.442102 SecurityChannelState: 1
2023-07-13 21:49:08.507955 SecurityChannelState: 1
2023-07-13 21:49:23.574373 SecurityChannelState: 1
2023-07-13 21:49:38.645964 SecurityChannelState: 1
2023-07-13 21:49:53.710377 SecurityChannelState: 1
2023-07-13 21:50:08.774525 SecurityChannelState: 1
2023-07-13 21:50:23.838171 SecurityChannelState: 1
2023-07-13 21:50:38.902162 SecurityChannelState: 1
2023-07-13 21:50:53.964303 SecurityChannelState: 1
2023-07-13 21:51:09.033162 SecurityChannelState: 1
2023-07-13 21:51:24.098546 SecurityChannelState: 1
2023-07-13 21:51:39.160211 SecurityChannelState: 1
2023-07-13 21:51:54.224554 SecurityChannelState: 1
