2023-07-13 21:35:25.454045 Antivorovator.py started
2023-07-13 21:35:25.454344 Configuration:{Datacenter:murmansk, NodeName:arnv1, SubSystem:arnv, ControlPoint:1}
2023-07-13 21:35:25.454472 Try to get MetricsUrl
2023-07-13 21:35:25.474800 succesfully get MetricsUrl: http://localhost:31684/metrics
2023-07-13 21:35:25.530254 SecurityChannelState: 1
2023-07-13 21:35:40.598000 SecurityChannelState: 1
2023-07-13 21:35:55.661463 SecurityChannelState: 1
2023-07-13 21:36:10.729595 SecurityChannelState: 1
2023-07-13 21:36:25.794049 SecurityChannelState: 1
2023-07-13 21:36:40.860934 SecurityChannelState: 1
2023-07-13 21:36:55.930666 SecurityChannelState: 1
2023-07-13 21:37:10.998285 SecurityChannelState: 1
2023-07-13 21:37:26.061140 SecurityChannelState: 1
2023-07-13 21:37:41.125697 SecurityChannelState: 1
2023-07-13 21:37:56.194150 SecurityChannelState: 1
2023-07-13 21:38:11.257581 SecurityChannelState: 1
2023-07-13 21:38:26.325443 SecurityChannelState: 1
2023-07-13 21:38:41.397449 SecurityChannelState: 1
2023-07-13 21:38:56.461911 SecurityChannelState: 1
2023-07-13 21:39:11.530300 SecurityChannelState: 1
2023-07-13 21:39:26.601830 SecurityChannelState: 1
2023-07-13 21:39:41.669394 SecurityChannelState: 1
2023-07-13 21:39:56.733557 SecurityChannelState: 1
2023-07-13 21:40:11.801523 SecurityChannelState: 1
2023-07-13 21:40:26.873629 SecurityChannelState: 1
2023-07-13 21:40:41.937586 SecurityChannelState: 1
2023-07-13 21:40:56.994419 SecurityChannelState: 1
2023-07-13 21:41:12.065579 SecurityChannelState: 1
2023-07-13 21:41:27.128690 SecurityChannelState: 1
2023-07-13 21:41:42.197427 SecurityChannelState: 1
2023-07-13 21:41:57.265593 SecurityChannelState: 1
2023-07-13 21:42:12.333574 SecurityChannelState: 1
2023-07-13 21:42:27.405754 SecurityChannelState: 1
2023-07-13 21:42:42.470551 SecurityChannelState: 1
2023-07-13 21:42:57.533334 SecurityChannelState: 1
2023-07-13 21:43:12.597698 SecurityChannelState: 1
2023-07-13 21:43:27.663711 SecurityChannelState: 1
2023-07-13 21:43:42.729536 SecurityChannelState: 1
2023-07-13 21:43:57.795141 SecurityChannelState: 1
2023-07-13 21:44:12.862080 SecurityChannelState: 1
2023-07-13 21:44:27.926201 SecurityChannelState: 1
2023-07-13 21:44:42.989627 SecurityChannelState: 1
2023-07-13 21:44:58.063281 SecurityChannelState: 1
2023-07-13 21:45:13.129941 SecurityChannelState: 1
2023-07-13 21:45:28.197932 SecurityChannelState: 1
2023-07-13 21:45:43.261603 SecurityChannelState: 1
2023-07-13 21:45:58.334784 SecurityChannelState: 1
2023-07-13 21:46:13.392856 SecurityChannelState: 1
2023-07-13 21:46:28.460182 SecurityChannelState: 1
2023-07-13 21:46:43.533914 SecurityChannelState: 1
2023-07-13 21:46:58.602091 SecurityChannelState: 1
2023-07-13 21:47:13.665712 SecurityChannelState: 1
2023-07-13 21:47:28.729523 SecurityChannelState: 1
2023-07-13 21:47:43.801803 SecurityChannelState: 1
2023-07-13 21:47:58.869737 SecurityChannelState: 1
2023-07-13 21:48:13.937406 SecurityChannelState: 1
2023-07-13 21:48:29.005635 SecurityChannelState: 1
2023-07-13 21:48:44.069447 SecurityChannelState: 1
2023-07-13 21:48:59.135308 SecurityChannelState: 1
2023-07-13 21:49:14.202983 SecurityChannelState: 1
2023-07-13 21:49:29.265272 SecurityChannelState: 1
2023-07-13 21:49:44.329537 SecurityChannelState: 1
2023-07-13 21:49:59.393700 SecurityChannelState: 1
2023-07-13 21:50:14.461600 SecurityChannelState: 1
2023-07-13 21:50:29.524924 SecurityChannelState: 1
2023-07-13 21:50:44.593849 SecurityChannelState: 1
2023-07-13 21:50:59.661698 SecurityChannelState: 1
2023-07-13 21:51:14.725831 SecurityChannelState: 1
2023-07-13 21:51:29.798137 SecurityChannelState: 1
2023-07-13 21:51:44.865771 SecurityChannelState: 1
2023-07-13 21:51:59.937956 SecurityChannelState: 1
2023-07-13 21:52:15.006190 SecurityChannelState: 1
2023-07-13 21:52:30.073063 SecurityChannelState: 1
2023-07-13 21:52:45.140958 SecurityChannelState: 1
2023-07-13 21:53:00.205978 SecurityChannelState: 1
2023-07-13 21:53:15.277628 SecurityChannelState: 1
2023-07-13 21:53:30.345986 SecurityChannelState: 1
2023-07-13 21:53:45.410115 SecurityChannelState: 1
2023-07-13 21:54:00.477759 SecurityChannelState: 1
2023-07-13 21:54:15.541929 SecurityChannelState: 1
2023-07-13 21:54:30.605905 SecurityChannelState: 1
2023-07-13 21:54:45.669551 SecurityChannelState: 1
2023-07-13 21:55:00.737913 SecurityChannelState: 1
2023-07-13 21:55:15.805539 SecurityChannelState: 1
2023-07-13 21:55:30.873553 SecurityChannelState: 1
2023-07-13 21:55:45.937556 SecurityChannelState: 1
2023-07-13 21:56:01.009630 SecurityChannelState: 1
2023-07-13 21:56:16.078507 SecurityChannelState: 1
2023-07-13 21:56:31.149925 SecurityChannelState: 1
2023-07-13 21:56:46.213440 SecurityChannelState: 1
