2023-07-13 21:35:24.048385 Antivorovator.py started
2023-07-13 21:35:24.049215 Configuration:{Datacenter:oreh, NodeName:lkps4, SubSystem:lkps, ControlPoint:4}
2023-07-13 21:35:24.049343 Try to get MetricsUrl
2023-07-13 21:35:24.065506 succesfully get MetricsUrl: http://localhost:27536/metrics
2023-07-13 21:35:24.117803 SecurityChannelState: 1
2023-07-13 21:35:39.176369 SecurityChannelState: 1
2023-07-13 21:35:54.236424 SecurityChannelState: 1
2023-07-13 21:36:09.303516 SecurityChannelState: 1
2023-07-13 21:36:24.372574 SecurityChannelState: 1
2023-07-13 21:36:39.441730 SecurityChannelState: 1
2023-07-13 21:36:54.508924 SecurityChannelState: 1
2023-07-13 21:37:09.576672 SecurityChannelState: 1
2023-07-13 21:37:24.644536 SecurityChannelState: 1
2023-07-13 21:37:39.711922 SecurityChannelState: 1
2023-07-13 21:37:54.772488 SecurityChannelState: 1
2023-07-13 21:38:09.835983 SecurityChannelState: 1
2023-07-13 21:38:24.900799 SecurityChannelState: 1
2023-07-13 21:38:39.969086 SecurityChannelState: 1
2023-07-13 21:38:55.036139 SecurityChannelState: 1
2023-07-13 21:39:10.096568 SecurityChannelState: 1
2023-07-13 21:39:25.164630 SecurityChannelState: 1
2023-07-13 21:39:40.225639 SecurityChannelState: 1
2023-07-13 21:39:55.288345 SecurityChannelState: 1
2023-07-13 21:40:10.352634 SecurityChannelState: 1
2023-07-13 21:40:25.416600 SecurityChannelState: 1
2023-07-13 21:40:40.488529 SecurityChannelState: 1
2023-07-13 21:40:55.556594 SecurityChannelState: 1
2023-07-13 21:41:10.620756 SecurityChannelState: 1
2023-07-13 21:41:25.688879 SecurityChannelState: 1
2023-07-13 21:41:40.757090 SecurityChannelState: 1
2023-07-13 21:41:55.822716 SecurityChannelState: 1
2023-07-13 21:42:10.888467 SecurityChannelState: 1
2023-07-13 21:42:25.957374 SecurityChannelState: 1
2023-07-13 21:42:41.026925 SecurityChannelState: 1
2023-07-13 21:42:56.088643 SecurityChannelState: 1
2023-07-13 21:43:11.143342 SecurityChannelState: 1
2023-07-13 21:43:26.212753 SecurityChannelState: 1
2023-07-13 21:43:41.269842 SecurityChannelState: 1
2023-07-13 21:43:56.339445 SecurityChannelState: 1
2023-07-13 21:44:11.398477 SecurityChannelState: 1
2023-07-13 21:44:26.456403 SecurityChannelState: 1
2023-07-13 21:44:41.518095 SecurityChannelState: 1
2023-07-13 21:44:56.588026 SecurityChannelState: 1
2023-07-13 21:45:11.652189 SecurityChannelState: 1
2023-07-13 21:45:26.716259 SecurityChannelState: 1
2023-07-13 21:45:41.783619 SecurityChannelState: 1
2023-07-13 21:45:56.848598 SecurityChannelState: 1
2023-07-13 21:46:11.912743 SecurityChannelState: 1
2023-07-13 21:46:26.980824 SecurityChannelState: 1
2023-07-13 21:46:42.043798 SecurityChannelState: 1
2023-07-13 21:46:57.112222 SecurityChannelState: 1
2023-07-13 21:47:12.176105 SecurityChannelState: 1
2023-07-13 21:47:27.240456 SecurityChannelState: 1
2023-07-13 21:47:42.308692 SecurityChannelState: 1
2023-07-13 21:47:57.368439 SecurityChannelState: 1
2023-07-13 21:48:12.436371 SecurityChannelState: 1
2023-07-13 21:48:27.505174 SecurityChannelState: 1
2023-07-13 21:48:42.560937 SecurityChannelState: 1
2023-07-13 21:48:57.625165 SecurityChannelState: 1
2023-07-13 21:49:12.691119 SecurityChannelState: 1
2023-07-13 21:49:27.758638 SecurityChannelState: 1
2023-07-13 21:49:42.824821 SecurityChannelState: 1
2023-07-13 21:49:57.893459 SecurityChannelState: 1
2023-07-13 21:50:12.952722 SecurityChannelState: 1
2023-07-13 21:50:28.020544 SecurityChannelState: 1
2023-07-13 21:50:43.093248 SecurityChannelState: 1
2023-07-13 21:50:58.161952 SecurityChannelState: 1
2023-07-13 21:51:13.232926 SecurityChannelState: 1
2023-07-13 21:51:28.296609 SecurityChannelState: 1
2023-07-13 21:51:43.364409 SecurityChannelState: 1
2023-07-13 21:51:58.431677 SecurityChannelState: 1
2023-07-13 21:52:13.492262 SecurityChannelState: 1
2023-07-13 21:52:28.560554 SecurityChannelState: 1
2023-07-13 21:52:43.625050 SecurityChannelState: 1
2023-07-13 21:52:58.696715 SecurityChannelState: 1
2023-07-13 21:53:13.760445 SecurityChannelState: 1
2023-07-13 21:53:28.824405 SecurityChannelState: 1
2023-07-13 21:53:43.896208 SecurityChannelState: 1
2023-07-13 21:53:58.961174 SecurityChannelState: 1
2023-07-13 21:54:14.028693 SecurityChannelState: 1
2023-07-13 21:54:29.096141 SecurityChannelState: 1
2023-07-13 21:54:44.160637 SecurityChannelState: 1
2023-07-13 21:54:59.230775 SecurityChannelState: 1
2023-07-13 21:55:14.287791 SecurityChannelState: 1
2023-07-13 21:55:29.360964 SecurityChannelState: 1
2023-07-13 21:55:44.428152 SecurityChannelState: 1
2023-07-13 21:55:59.495500 SecurityChannelState: 1
2023-07-13 21:56:14.564632 SecurityChannelState: 1
2023-07-13 21:56:29.619516 SecurityChannelState: 1
2023-07-13 21:56:44.684345 SecurityChannelState: 1
2023-07-13 21:56:59.752468 SecurityChannelState: 1
