2023-07-13 21:35:24.927114 Antivorovator.py started
2023-07-13 21:35:24.927443 Configuration:{Datacenter:smolensk, NodeName:arnv2, SubSystem:arnv, ControlPoint:2}
2023-07-13 21:35:24.927565 Try to get MetricsUrl
2023-07-13 21:35:24.942774 succesfully get MetricsUrl: http://localhost:29935/metrics
2023-07-13 21:35:24.994884 SecurityChannelState: 1
2023-07-13 21:35:40.066771 SecurityChannelState: 1
2023-07-13 21:35:55.130859 SecurityChannelState: 1
2023-07-13 21:36:10.199235 SecurityChannelState: 1
2023-07-13 21:36:25.262760 SecurityChannelState: 1
2023-07-13 21:36:40.330812 SecurityChannelState: 1
2023-07-13 21:36:55.398507 SecurityChannelState: 1
2023-07-13 21:37:10.466762 SecurityChannelState: 1
2023-07-13 21:37:25.534346 SecurityChannelState: 1
2023-07-13 21:37:40.598783 SecurityChannelState: 1
2023-07-13 21:37:55.666698 SecurityChannelState: 1
2023-07-13 21:38:10.734555 SecurityChannelState: 1
2023-07-13 21:38:25.803123 SecurityChannelState: 1
2023-07-13 21:38:40.866678 SecurityChannelState: 1
2023-07-13 21:38:55.935079 SecurityChannelState: 1
2023-07-13 21:39:11.002877 SecurityChannelState: 1
2023-07-13 21:39:26.070917 SecurityChannelState: 1
2023-07-13 21:39:41.130622 SecurityChannelState: 1
2023-07-13 21:39:56.198435 SecurityChannelState: 1
2023-07-13 21:40:11.266521 SecurityChannelState: 1
2023-07-13 21:40:26.335134 SecurityChannelState: 1
2023-07-13 21:40:41.402778 SecurityChannelState: 1
2023-07-13 21:40:56.466719 SecurityChannelState: 1
2023-07-13 21:41:11.534738 SecurityChannelState: 1
2023-07-13 21:41:26.602772 SecurityChannelState: 1
2023-07-13 21:41:41.670715 SecurityChannelState: 1
2023-07-13 21:41:56.738756 SecurityChannelState: 1
2023-07-13 21:42:11.806679 SecurityChannelState: 1
2023-07-13 21:42:26.874680 SecurityChannelState: 1
2023-07-13 21:42:41.942841 SecurityChannelState: 1
2023-07-13 21:42:57.010897 SecurityChannelState: 1
2023-07-13 21:43:12.078959 SecurityChannelState: 1
2023-07-13 21:43:27.146694 SecurityChannelState: 1
2023-07-13 21:43:42.214710 SecurityChannelState: 1
2023-07-13 21:43:57.282651 SecurityChannelState: 1
2023-07-13 21:44:12.350630 SecurityChannelState: 1
2023-07-13 21:44:27.422768 SecurityChannelState: 1
2023-07-13 21:44:42.490867 SecurityChannelState: 1
2023-07-13 21:44:57.558708 SecurityChannelState: 1
2023-07-13 21:45:12.626823 SecurityChannelState: 1
2023-07-13 21:45:27.694958 SecurityChannelState: 1
2023-07-13 21:45:42.763141 SecurityChannelState: 1
2023-07-13 21:45:57.830661 SecurityChannelState: 1
2023-07-13 21:46:12.898652 SecurityChannelState: 1
2023-07-13 21:46:27.966590 SecurityChannelState: 1
2023-07-13 21:46:43.034830 SecurityChannelState: 1
2023-07-13 21:46:58.103636 SecurityChannelState: 1
2023-07-13 21:47:13.170724 SecurityChannelState: 1
2023-07-13 21:47:28.227031 SecurityChannelState: 1
2023-07-13 21:47:43.294701 SecurityChannelState: 1
2023-07-13 21:47:58.362714 SecurityChannelState: 1
2023-07-13 21:48:13.426739 SecurityChannelState: 1
2023-07-13 21:48:28.486683 SecurityChannelState: 1
2023-07-13 21:48:43.554654 SecurityChannelState: 1
2023-07-13 21:48:58.622696 SecurityChannelState: 1
2023-07-13 21:49:13.690743 SecurityChannelState: 1
2023-07-13 21:49:28.758655 SecurityChannelState: 1
2023-07-13 21:49:43.826759 SecurityChannelState: 1
2023-07-13 21:49:58.894406 SecurityChannelState: 1
2023-07-13 21:50:13.958725 SecurityChannelState: 1
2023-07-13 21:50:29.026709 SecurityChannelState: 1
2023-07-13 21:50:44.086699 SecurityChannelState: 1
2023-07-13 21:50:59.150810 SecurityChannelState: 1
2023-07-13 21:51:14.218863 SecurityChannelState: 1
2023-07-13 21:51:29.286702 SecurityChannelState: 1
2023-07-13 21:51:44.354752 SecurityChannelState: 1
2023-07-13 21:51:59.426801 SecurityChannelState: 1
2023-07-13 21:52:14.494630 SecurityChannelState: 1
2023-07-13 21:52:29.562658 SecurityChannelState: 1
2023-07-13 21:52:44.618731 SecurityChannelState: 1
2023-07-13 21:52:59.686705 SecurityChannelState: 1
2023-07-13 21:53:14.754691 SecurityChannelState: 1
2023-07-13 21:53:29.818703 SecurityChannelState: 1
2023-07-13 21:53:44.882747 SecurityChannelState: 1
2023-07-13 21:53:59.946653 SecurityChannelState: 1
2023-07-13 21:54:15.014854 SecurityChannelState: 1
2023-07-13 21:54:30.078734 SecurityChannelState: 1
2023-07-13 21:54:45.146696 SecurityChannelState: 1
2023-07-13 21:55:00.214708 SecurityChannelState: 1
2023-07-13 21:55:15.282676 SecurityChannelState: 1
2023-07-13 21:55:30.350820 SecurityChannelState: 1
2023-07-13 21:55:45.418740 SecurityChannelState: 1
2023-07-13 21:56:00.486741 SecurityChannelState: 1
2023-07-13 21:56:15.554827 SecurityChannelState: 1
2023-07-13 21:56:30.626721 SecurityChannelState: 1
2023-07-13 21:56:45.694722 SecurityChannelState: 1
2023-07-13 21:57:00.762699 SecurityChannelState: 1
2023-07-13 21:57:15.830807 SecurityChannelState: 1
2023-07-13 21:57:30.898581 SecurityChannelState: 1
2023-07-13 21:57:45.970863 SecurityChannelState: 1
2023-07-13 21:58:01.038595 SecurityChannelState: 1
