2023-07-13 21:35:19.786578 Antivorovator.py started
2023-07-13 21:35:19.787432 Configuration:{Datacenter:vhodnaya, NodeName:lkps1, SubSystem:lkps, ControlPoint:1}
2023-07-13 21:35:19.787582 Try to get MetricsUrl
2023-07-13 21:35:19.804838 succesfully get MetricsUrl: http://localhost:30525/metrics
2023-07-13 21:35:19.856369 SecurityChannelState: 1
2023-07-13 21:35:34.919713 SecurityChannelState: 1
2023-07-13 21:35:49.991965 SecurityChannelState: 1
2023-07-13 21:36:05.055429 SecurityChannelState: 1
2023-07-13 21:36:20.120467 SecurityChannelState: 1
2023-07-13 21:36:35.187560 SecurityChannelState: 1
2023-07-13 21:36:50.250755 SecurityChannelState: 1
2023-07-13 21:37:05.317273 SecurityChannelState: 1
2023-07-13 21:37:20.371481 SecurityChannelState: 1
2023-07-13 21:37:35.435222 SecurityChannelState: 1
2023-07-13 21:37:50.503256 SecurityChannelState: 1
2023-07-13 21:38:05.555273 SecurityChannelState: 1
2023-07-13 21:38:20.619355 SecurityChannelState: 1
2023-07-13 21:38:35.679892 SecurityChannelState: 1
2023-07-13 21:38:50.746581 SecurityChannelState: 1
2023-07-13 21:39:05.811861 SecurityChannelState: 1
2023-07-13 21:39:20.879925 SecurityChannelState: 1
2023-07-13 21:39:35.947674 SecurityChannelState: 1
2023-07-13 21:39:51.016539 SecurityChannelState: 1
2023-07-13 21:40:06.083700 SecurityChannelState: 1
2023-07-13 21:40:21.151561 SecurityChannelState: 1
2023-07-13 21:40:36.219682 SecurityChannelState: 1
2023-07-13 21:40:51.284005 SecurityChannelState: 1
2023-07-13 21:41:06.353122 SecurityChannelState: 1
2023-07-13 21:41:21.419582 SecurityChannelState: 1
2023-07-13 21:41:36.492371 SecurityChannelState: 1
2023-07-13 21:41:51.555774 SecurityChannelState: 1
2023-07-13 21:42:06.619947 SecurityChannelState: 1
2023-07-13 21:42:21.683764 SecurityChannelState: 1
2023-07-13 21:42:36.748146 SecurityChannelState: 1
2023-07-13 21:42:51.816160 SecurityChannelState: 1
2023-07-13 21:43:06.872608 SecurityChannelState: 1
2023-07-13 21:43:21.940930 SecurityChannelState: 1
2023-07-13 21:43:37.016106 SecurityChannelState: 1
2023-07-13 21:43:52.080206 SecurityChannelState: 1
2023-07-13 21:44:07.147966 SecurityChannelState: 1
2023-07-13 21:44:22.217988 SecurityChannelState: 1
2023-07-13 21:44:37.280503 SecurityChannelState: 1
2023-07-13 21:44:52.344944 SecurityChannelState: 1
2023-07-13 21:45:07.399759 SecurityChannelState: 1
2023-07-13 21:45:22.464057 SecurityChannelState: 1
2023-07-13 21:45:37.523969 SecurityChannelState: 1
2023-07-13 21:45:52.592608 SecurityChannelState: 1
2023-07-13 21:46:07.660672 SecurityChannelState: 1
2023-07-13 21:46:22.729972 SecurityChannelState: 1
2023-07-13 21:46:37.797633 SecurityChannelState: 1
2023-07-13 21:46:52.855302 SecurityChannelState: 1
2023-07-13 21:47:07.925319 SecurityChannelState: 1
2023-07-13 21:47:22.991892 SecurityChannelState: 1
2023-07-13 21:47:38.060416 SecurityChannelState: 1
2023-07-13 21:47:53.125411 SecurityChannelState: 1
2023-07-13 21:48:08.195939 SecurityChannelState: 1
2023-07-13 21:48:23.252006 SecurityChannelState: 1
2023-07-13 21:48:38.282097 SecurityChannelState: 1
2023-07-13 21:48:53.348000 SecurityChannelState: 1
2023-07-13 21:49:08.411858 SecurityChannelState: 1
2023-07-13 21:49:23.474830 SecurityChannelState: 1
2023-07-13 21:49:38.538426 SecurityChannelState: 1
2023-07-13 21:49:53.599911 SecurityChannelState: 1
2023-07-13 21:50:08.668414 SecurityChannelState: 1
2023-07-13 21:50:23.735935 SecurityChannelState: 1
2023-07-13 21:50:38.803918 SecurityChannelState: 1
2023-07-13 21:50:53.868371 SecurityChannelState: 1
2023-07-13 21:51:08.935697 SecurityChannelState: 1
2023-07-13 21:51:24.000201 SecurityChannelState: 1
2023-07-13 21:51:39.055538 SecurityChannelState: 1
2023-07-13 21:51:54.119977 SecurityChannelState: 1
2023-07-13 21:52:09.187211 SecurityChannelState: 1
2023-07-13 21:52:24.252635 SecurityChannelState: 1
2023-07-13 21:52:39.323341 SecurityChannelState: 1
2023-07-13 21:52:54.387923 SecurityChannelState: 1
2023-07-13 21:53:09.451901 SecurityChannelState: 1
2023-07-13 21:53:24.523844 SecurityChannelState: 1
2023-07-13 21:53:39.595825 SecurityChannelState: 1
2023-07-13 21:53:54.663838 SecurityChannelState: 1
2023-07-13 21:54:09.727749 SecurityChannelState: 1
2023-07-13 21:54:24.787625 SecurityChannelState: 1
2023-07-13 21:54:39.856677 SecurityChannelState: 1
2023-07-13 21:54:54.920235 SecurityChannelState: 1
2023-07-13 21:55:09.987740 SecurityChannelState: 1
2023-07-13 21:55:25.051173 SecurityChannelState: 1
2023-07-13 21:55:40.112147 SecurityChannelState: 1
2023-07-13 21:55:55.179700 SecurityChannelState: 1
2023-07-13 21:56:10.243000 SecurityChannelState: 1
2023-07-13 21:56:25.303935 SecurityChannelState: 1
2023-07-13 21:56:40.355559 SecurityChannelState: 1
2023-07-13 21:56:55.412052 SecurityChannelState: 1
2023-07-13 21:57:10.476634 SecurityChannelState: 1
2023-07-13 21:57:25.531642 SecurityChannelState: 1
2023-07-13 21:57:40.596119 SecurityChannelState: 1
2023-07-13 21:57:55.663932 SecurityChannelState: 1
2023-07-13 21:58:10.727653 SecurityChannelState: 1
2023-07-13 21:58:25.796226 SecurityChannelState: 1
2023-07-13 21:58:40.868305 SecurityChannelState: 1
2023-07-13 21:58:55.936117 SecurityChannelState: 1
2023-07-13 21:59:10.992081 SecurityChannelState: 1
2023-07-13 21:59:26.063788 SecurityChannelState: 1
2023-07-13 21:59:41.127487 SecurityChannelState: 1
2023-07-13 21:59:56.191893 SecurityChannelState: 1
2023-07-13 22:00:11.252140 SecurityChannelState: 1
2023-07-13 22:00:26.319606 SecurityChannelState: 1
2023-07-13 22:00:41.380092 SecurityChannelState: 1
2023-07-13 22:00:56.447922 SecurityChannelState: 1
2023-07-13 22:01:11.515678 SecurityChannelState: 1
2023-07-13 22:01:26.575649 SecurityChannelState: 1
2023-07-13 22:01:41.643599 SecurityChannelState: 1
2023-07-13 22:01:56.701897 SecurityChannelState: 1
2023-07-13 22:02:11.767847 SecurityChannelState: 1
2023-07-13 22:02:26.831157 SecurityChannelState: 1
2023-07-13 22:02:41.899623 SecurityChannelState: 1
2023-07-13 22:02:56.967627 SecurityChannelState: 1
2023-07-13 22:03:12.036082 SecurityChannelState: 1
2023-07-13 22:03:27.103905 SecurityChannelState: 1
2023-07-13 22:03:42.176487 SecurityChannelState: 1
2023-07-13 22:03:57.231818 SecurityChannelState: 1
2023-07-13 22:04:12.300023 SecurityChannelState: 1
2023-07-13 22:04:27.367988 SecurityChannelState: 1
2023-07-13 22:04:42.427487 SecurityChannelState: 1
2023-07-13 22:04:57.496691 SecurityChannelState: 1
2023-07-13 22:05:12.563904 SecurityChannelState: 1
2023-07-13 22:05:27.624330 SecurityChannelState: 1
2023-07-13 22:05:42.696562 SecurityChannelState: 1
2023-07-13 22:05:57.763783 SecurityChannelState: 1
2023-07-13 22:06:12.832075 SecurityChannelState: 1
2023-07-13 22:06:27.900028 SecurityChannelState: 1
2023-07-13 22:06:42.964078 SecurityChannelState: 1
2023-07-13 22:06:58.037526 SecurityChannelState: 1
2023-07-13 22:07:13.100010 SecurityChannelState: 1
2023-07-13 22:07:28.163966 SecurityChannelState: 1
2023-07-13 22:07:43.228100 SecurityChannelState: 1
2023-07-13 22:07:58.296023 SecurityChannelState: 1
2023-07-13 22:08:13.360030 SecurityChannelState: 1
2023-07-13 22:08:28.428260 SecurityChannelState: 1
2023-07-13 22:08:43.488480 SecurityChannelState: 1
2023-07-13 22:08:58.512287 SecurityChannelState: 1
2023-07-13 22:09:13.574315 SecurityChannelState: 1
2023-07-13 22:09:28.639244 SecurityChannelState: 1
2023-07-13 22:09:43.702046 SecurityChannelState: 1
2023-07-13 22:09:58.772469 SecurityChannelState: 1
2023-07-13 22:10:13.827896 SecurityChannelState: 1
2023-07-13 22:10:28.897232 SecurityChannelState: 1
2023-07-13 22:10:43.960086 SecurityChannelState: 1
2023-07-13 22:10:59.029109 SecurityChannelState: 1
2023-07-13 22:11:14.095744 SecurityChannelState: 1
2023-07-13 22:11:29.159979 SecurityChannelState: 1
2023-07-13 22:11:44.220581 SecurityChannelState: 1
2023-07-13 22:11:59.287453 SecurityChannelState: 1
2023-07-13 22:12:14.355832 SecurityChannelState: 1
2023-07-13 22:12:29.411927 SecurityChannelState: 1
2023-07-13 22:12:44.480750 SecurityChannelState: 1
2023-07-13 22:12:59.556371 SecurityChannelState: 1
2023-07-13 22:13:14.624082 SecurityChannelState: 1
2023-07-13 22:13:29.691627 SecurityChannelState: 1
2023-07-13 22:13:44.759989 SecurityChannelState: 1
2023-07-13 22:13:59.827602 SecurityChannelState: 1
2023-07-13 22:14:14.895776 SecurityChannelState: 1
2023-07-13 22:14:29.964116 SecurityChannelState: 1
2023-07-13 22:14:45.032254 SecurityChannelState: 1
2023-07-13 22:15:00.096157 SecurityChannelState: 1
2023-07-13 22:15:15.120719 SecurityChannelState: 1
2023-07-13 22:15:30.192082 SecurityChannelState: 1
2023-07-13 22:15:45.218698 SecurityChannelState: 1
2023-07-13 22:16:00.272572 SecurityChannelState: 1
2023-07-13 22:16:15.339946 SecurityChannelState: 1
2023-07-13 22:16:30.395098 SecurityChannelState: 1
2023-07-13 22:16:45.453785 SecurityChannelState: 1
2023-07-13 22:17:00.520250 SecurityChannelState: 1
2023-07-13 22:17:15.583926 SecurityChannelState: 1
2023-07-13 22:17:30.647951 SecurityChannelState: 1
2023-07-13 22:17:45.716348 SecurityChannelState: 1
2023-07-13 22:18:00.785852 SecurityChannelState: 1
