2023-07-13 21:35:01 Antivorovator.py started
2023-07-13 21:35:00 Configuration:{Datacenter:chelyabinsk, NodeName:lkps3, SubSystem:lkps, ControlPoint:3}
2023-07-13 21:35:05 Try to get MetricsUrl
2023-07-13 21:35:55 succesfully get MetricsUrl: http://localhost:27156/metrics
2023-07-13 21:35:37 SecurityChannelState: 1
2023-07-13 21:35:69 SecurityChannelState: 1
2023-07-13 21:35:42 SecurityChannelState: 1
2023-07-13 21:36:88 SecurityChannelState: 1
2023-07-13 21:36:70 SecurityChannelState: 1
2023-07-13 21:36:68 SecurityChannelState: 1
2023-07-13 21:36:84 SecurityChannelState: 1
2023-07-13 21:37:13 SecurityChannelState: 1
2023-07-13 21:37:11 SecurityChannelState: 1
2023-07-13 21:37:34 SecurityChannelState: 1
2023-07-13 21:37:72 SecurityChannelState: 1
2023-07-13 21:38:89 SecurityChannelState: 1
2023-07-13 21:38:66 SecurityChannelState: 1
2023-07-13 21:38:39 SecurityChannelState: 1
2023-07-13 21:38:55 SecurityChannelState: 1
2023-07-13 21:39:56 SecurityChannelState: 1
2023-07-13 21:39:04 SecurityChannelState: 1
2023-07-13 21:39:12 SecurityChannelState: 1
2023-07-13 21:39:17 SecurityChannelState: 1
2023-07-13 21:40:76 SecurityChannelState: 1
2023-07-13 21:40:89 SecurityChannelState: 1
2023-07-13 21:40:24 SecurityChannelState: 1
2023-07-13 21:40:58 SecurityChannelState: 1
2023-07-13 21:41:59 SecurityChannelState: 1
2023-07-13 21:41:18 SecurityChannelState: 1
2023-07-13 21:41:23 SecurityChannelState: 1
2023-07-13 21:41:00 SecurityChannelState: 1
2023-07-13 21:42:34 SecurityChannelState: 1
2023-07-13 21:42:68 SecurityChannelState: 1
2023-07-13 21:42:67 SecurityChannelState: 1
2023-07-13 21:42:49 SecurityChannelState: 1
2023-07-13 21:43:72 SecurityChannelState: 1
2023-07-13 21:43:75 SecurityChannelState: 1
2023-07-13 21:43:64 SecurityChannelState: 1
2023-07-13 21:43:98 SecurityChannelState: 1
2023-07-13 21:44:97 SecurityChannelState: 1
2023-07-13 21:44:23 SecurityChannelState: 1
2023-07-13 21:44:72 SecurityChannelState: 1
2023-07-13 21:44:82 SecurityChannelState: 1
2023-07-13 21:45:10 SecurityChannelState: 1
2023-07-13 21:45:14 SecurityChannelState: 1
2023-07-13 21:45:48 SecurityChannelState: 1
2023-07-13 21:45:37 SecurityChannelState: 1
2023-07-13 21:46:83 SecurityChannelState: 1
2023-07-13 21:46:06 SecurityChannelState: 1
2023-07-13 21:46:96 SecurityChannelState: 1
2023-07-13 21:46:41 SecurityChannelState: 1
2023-07-13 21:47:65 SecurityChannelState: 1
2023-07-13 21:47:48 SecurityChannelState: 1
2023-07-13 21:47:64 SecurityChannelState: 1
2023-07-13 21:47:13 SecurityChannelState: 1
2023-07-13 21:48:83 SecurityChannelState: 1
2023-07-13 21:48:48 SecurityChannelState: 1
2023-07-13 21:48:97 SecurityChannelState: 1
2023-07-13 21:48:85 SecurityChannelState: 1
2023-07-13 21:49:61 SecurityChannelState: 1
