2023-07-13 21:35:33 Antivorovator.py started
2023-07-13 21:35:61 Configuration:{Datacenter:habr, NodeName:lkps2, SubSystem:lkps, ControlPoint:2}
2023-07-13 21:35:14 Try to get MetricsUrl
2023-07-13 21:35:15 succesfully get MetricsUrl: http://localhost:30212/metrics
2023-07-13 21:35:53 SecurityChannelState: 1
2023-07-13 21:35:55 SecurityChannelState: 1
2023-07-13 21:35:55 SecurityChannelState: 1
2023-07-13 21:36:75 SecurityChannelState: 1
2023-07-13 21:36:76 SecurityChannelState: 1
2023-07-13 21:36:25 SecurityChannelState: 1
2023-07-13 21:36:29 SecurityChannelState: 1
2023-07-13 21:37:05 SecurityChannelState: 1
2023-07-13 21:37:15 SecurityChannelState: 1
2023-07-13 21:37:11 SecurityChannelState: 1
2023-07-13 21:37:71 SecurityChannelState: 1
2023-07-13 21:38:92 SecurityChannelState: 1
2023-07-13 21:38:34 SecurityChannelState: 1
2023-07-13 21:38:93 SecurityChannelState: 1
2023-07-13 21:38:00 SecurityChannelState: 1
2023-07-13 21:39:33 SecurityChannelState: 1
2023-07-13 21:39:65 SecurityChannelState: 1
2023-07-13 21:39:17 SecurityChannelState: 1
2023-07-13 21:39:42 SecurityChannelState: 1
2023-07-13 21:40:52 SecurityChannelState: 1
2023-07-13 21:40:50 SecurityChannelState: 1
2023-07-13 21:40:40 SecurityChannelState: 1
2023-07-13 21:40:69 SecurityChannelState: 1
2023-07-13 21:41:42 SecurityChannelState: 1
2023-07-13 21:41:54 SecurityChannelState: 1
2023-07-13 21:41:34 SecurityChannelState: 1
2023-07-13 21:41:00 SecurityChannelState: 1
2023-07-13 21:42:80 SecurityChannelState: 1
2023-07-13 21:42:04 SecurityChannelState: 1
2023-07-13 21:42:95 SecurityChannelState: 1
2023-07-13 21:42:42 SecurityChannelState: 1
2023-07-13 21:43:26 SecurityChannelState: 1
2023-07-13 21:43:67 SecurityChannelState: 1
2023-07-13 21:43:31 SecurityChannelState: 1
2023-07-13 21:43:93 SecurityChannelState: 1
2023-07-13 21:44:93 SecurityChannelState: 1
2023-07-13 21:44:75 SecurityChannelState: 1
2023-07-13 21:44:45 SecurityChannelState: 1
2023-07-13 21:44:43 SecurityChannelState: 1
2023-07-13 21:45:63 SecurityChannelState: 1
2023-07-13 21:45:01 SecurityChannelState: 1
2023-07-13 21:45:26 SecurityChannelState: 1
2023-07-13 21:45:05 SecurityChannelState: 1
2023-07-13 21:46:81 SecurityChannelState: 1
2023-07-13 21:46:28 SecurityChannelState: 1
2023-07-13 21:46:23 SecurityChannelState: 1
2023-07-13 21:46:38 SecurityChannelState: 1
2023-07-13 21:47:25 SecurityChannelState: 1
2023-07-13 21:47:42 SecurityChannelState: 1
2023-07-13 21:47:91 SecurityChannelState: 1
2023-07-13 21:47:63 SecurityChannelState: 1
2023-07-13 21:48:01 SecurityChannelState: 1
2023-07-13 21:48:02 SecurityChannelState: 1
2023-07-13 21:48:21 SecurityChannelState: 1
2023-07-13 21:48:28 SecurityChannelState: 1
2023-07-13 21:49:04 SecurityChannelState: 1
2023-07-13 21:49:51 SecurityChannelState: 1
2023-07-13 21:49:04 SecurityChannelState: 1
2023-07-13 21:49:92 SecurityChannelState: 1
2023-07-13 21:50:71 SecurityChannelState: 1
2023-07-13 21:50:46 SecurityChannelState: 1
2023-07-13 21:50:84 SecurityChannelState: 1
2023-07-13 21:50:47 SecurityChannelState: 1
2023-07-13 21:51:15 SecurityChannelState: 1
2023-07-13 21:51:05 SecurityChannelState: 1
2023-07-13 21:51:76 SecurityChannelState: 1
2023-07-13 21:51:11 SecurityChannelState: 1
2023-07-13 21:52:78 SecurityChannelState: 1
2023-07-13 21:52:45 SecurityChannelState: 1
2023-07-13 21:52:21 SecurityChannelState: 1
2023-07-13 21:52:88 SecurityChannelState: 1
2023-07-13 21:53:32 SecurityChannelState: 1
2023-07-13 21:53:07 SecurityChannelState: 1
2023-07-13 21:53:35 SecurityChannelState: 1
2023-07-13 21:53:94 SecurityChannelState: 1
2023-07-13 21:54:29 SecurityChannelState: 1
2023-07-13 21:54:30 SecurityChannelState: 1
2023-07-13 21:54:74 SecurityChannelState: 1
2023-07-13 21:54:95 SecurityChannelState: 1
2023-07-13 21:55:77 SecurityChannelState: 1
2023-07-13 21:55:01 SecurityChannelState: 1
2023-07-13 21:55:12 SecurityChannelState: 1
2023-07-13 21:55:92 SecurityChannelState: 1
2023-07-13 21:56:75 SecurityChannelState: 1
2023-07-13 21:56:39 SecurityChannelState: 1
2023-07-13 21:56:90 SecurityChannelState: 1
2023-07-13 21:56:91 SecurityChannelState: 1
2023-07-13 21:57:59 SecurityChannelState: 1
2023-07-13 21:57:67 SecurityChannelState: 1
2023-07-13 21:57:12 SecurityChannelState: 1
2023-07-13 21:58:54 SecurityChannelState: 1
2023-07-13 21:58:80 SecurityChannelState: 1
2023-07-13 21:58:03 SecurityChannelState: 1
2023-07-13 21:58:32 SecurityChannelState: 1
2023-07-13 21:59:67 SecurityChannelState: 1
2023-07-13 21:59:08 SecurityChannelState: 1
2023-07-13 21:59:68 SecurityChannelState: 1
2023-07-13 21:59:33 SecurityChannelState: 1
2023-07-13 22:00:96 SecurityChannelState: 1
2023-07-13 22:00:71 SecurityChannelState: 1
2023-07-13 22:00:99 SecurityChannelState: 1
2023-07-13 22:00:63 SecurityChannelState: 1
2023-07-13 22:01:75 SecurityChannelState: 1
2023-07-13 22:01:71 SecurityChannelState: 1
2023-07-13 22:01:76 SecurityChannelState: 1
2023-07-13 22:01:52 SecurityChannelState: 1
2023-07-13 22:02:49 SecurityChannelState: 1
2023-07-13 22:02:13 SecurityChannelState: 1
2023-07-13 22:02:15 SecurityChannelState: 1
2023-07-13 22:02:11 SecurityChannelState: 1
2023-07-13 22:03:54 SecurityChannelState: 1
2023-07-13 22:03:78 SecurityChannelState: 1
2023-07-13 22:03:18 SecurityChannelState: 1
2023-07-13 22:03:41 SecurityChannelState: 1
2023-07-13 22:04:69 SecurityChannelState: 1
2023-07-13 22:04:76 SecurityChannelState: 1
2023-07-13 22:04:84 SecurityChannelState: 1
2023-07-13 22:04:77 SecurityChannelState: 1
2023-07-13 22:05:56 SecurityChannelState: 1
2023-07-13 22:05:30 SecurityChannelState: 1
2023-07-13 22:05:46 SecurityChannelState: 1
2023-07-13 22:05:68 SecurityChannelState: 1
2023-07-13 22:06:74 SecurityChannelState: 1
2023-07-13 22:06:37 SecurityChannelState: 1
2023-07-13 22:06:83 SecurityChannelState: 1
2023-07-13 22:06:05 SecurityChannelState: 1
2023-07-13 22:07:90 SecurityChannelState: 1
2023-07-13 22:07:22 SecurityChannelState: 1
2023-07-13 22:07:83 SecurityChannelState: 1
2023-07-13 22:07:41 SecurityChannelState: 1
2023-07-13 22:08:64 SecurityChannelState: 1
2023-07-13 22:08:13 SecurityChannelState: 1
2023-07-13 22:08:13 SecurityChannelState: 1
2023-07-13 22:08:97 SecurityChannelState: 1
2023-07-13 22:09:96 SecurityChannelState: 1
2023-07-13 22:09:30 SecurityChannelState: 1
2023-07-13 22:09:37 SecurityChannelState: 1
2023-07-13 22:09:33 SecurityChannelState: 1
2023-07-13 22:10:69 SecurityChannelState: 1
2023-07-13 22:10:19 SecurityChannelState: 1
2023-07-13 22:10:52 SecurityChannelState: 1
2023-07-13 22:10:73 SecurityChannelState: 1
2023-07-13 22:11:52 SecurityChannelState: 1
2023-07-13 22:11:76 SecurityChannelState: 1
2023-07-13 22:11:97 SecurityChannelState: 1
2023-07-13 22:11:53 SecurityChannelState: 1
