2023-07-13 21:35:69 Antivorovator.py started
2023-07-13 21:35:08 Configuration:{Datacenter:krasnoyarsk, NodeName:lkps2, SubSystem:lkps, ControlPoint:2}
2023-07-13 21:35:55 Try to get MetricsUrl
2023-07-13 21:35:37 succesfully get MetricsUrl: http://localhost:24902/metrics
2023-07-13 21:35:48 SecurityChannelState: 1
2023-07-13 21:35:12 SecurityChannelState: 1
2023-07-13 21:35:13 SecurityChannelState: 1
2023-07-13 21:36:51 SecurityChannelState: 1
2023-07-13 21:36:95 SecurityChannelState: 1
2023-07-13 21:36:91 SecurityChannelState: 1
2023-07-13 21:36:39 SecurityChannelState: 1
2023-07-13 21:37:06 SecurityChannelState: 1
2023-07-13 21:37:64 SecurityChannelState: 1
2023-07-13 21:37:27 SecurityChannelState: 1
2023-07-13 21:37:55 SecurityChannelState: 1
2023-07-13 21:38:98 SecurityChannelState: 1
2023-07-13 21:38:23 SecurityChannelState: 1
2023-07-13 21:38:01 SecurityChannelState: 1
2023-07-13 21:38:48 SecurityChannelState: 1
2023-07-13 21:39:73 SecurityChannelState: 1
2023-07-13 21:39:31 SecurityChannelState: 1
2023-07-13 21:39:42 SecurityChannelState: 1
2023-07-13 21:39:94 SecurityChannelState: 1
2023-07-13 21:40:21 SecurityChannelState: 1
2023-07-13 21:40:80 SecurityChannelState: 1
2023-07-13 21:40:49 SecurityChannelState: 1
2023-07-13 21:40:85 SecurityChannelState: 1
2023-07-13 21:41:07 SecurityChannelState: 1
2023-07-13 21:41:87 SecurityChannelState: 1
2023-07-13 21:41:48 SecurityChannelState: 1
2023-07-13 21:41:44 SecurityChannelState: 1
2023-07-13 21:42:44 SecurityChannelState: 1
2023-07-13 21:42:24 SecurityChannelState: 1
2023-07-13 21:42:83 SecurityChannelState: 1
2023-07-13 21:42:05 SecurityChannelState: 1
2023-07-13 21:43:43 SecurityChannelState: 1
2023-07-13 21:43:49 SecurityChannelState: 1
2023-07-13 21:43:54 SecurityChannelState: 1
2023-07-13 21:43:64 SecurityChannelState: 1
2023-07-13 21:44:71 SecurityChannelState: 1
2023-07-13 21:44:09 SecurityChannelState: 1
2023-07-13 21:44:34 SecurityChannelState: 1
2023-07-13 21:44:93 SecurityChannelState: 1
2023-07-13 21:45:03 SecurityChannelState: 1
2023-07-13 21:45:82 SecurityChannelState: 1
2023-07-13 21:45:32 SecurityChannelState: 1
2023-07-13 21:45:62 SecurityChannelState: 1
2023-07-13 21:46:46 SecurityChannelState: 1
2023-07-13 21:46:77 SecurityChannelState: 1
2023-07-13 21:46:31 SecurityChannelState: 1
2023-07-13 21:46:48 SecurityChannelState: 1
2023-07-13 21:47:19 SecurityChannelState: 1
2023-07-13 21:47:99 SecurityChannelState: 1
2023-07-13 21:47:26 SecurityChannelState: 1
2023-07-13 21:47:09 SecurityChannelState: 1
2023-07-13 21:48:05 SecurityChannelState: 1
2023-07-13 21:48:50 SecurityChannelState: 1
2023-07-13 21:48:73 SecurityChannelState: 1
2023-07-13 21:48:02 SecurityChannelState: 1
2023-07-13 21:49:55 SecurityChannelState: 1
2023-07-13 21:49:73 SecurityChannelState: 1
2023-07-13 21:49:64 SecurityChannelState: 1
2023-07-13 21:49:77 SecurityChannelState: 1
2023-07-13 21:50:25 SecurityChannelState: 1
2023-07-13 21:50:71 SecurityChannelState: 1
2023-07-13 21:50:62 SecurityChannelState: 1
2023-07-13 21:50:03 SecurityChannelState: 1
2023-07-13 21:51:62 SecurityChannelState: 1
2023-07-13 21:51:46 SecurityChannelState: 1
2023-07-13 21:51:11 SecurityChannelState: 1
2023-07-13 21:51:54 SecurityChannelState: 1
2023-07-13 21:52:96 SecurityChannelState: 1
2023-07-13 21:52:71 SecurityChannelState: 1
2023-07-13 21:52:98 SecurityChannelState: 1
2023-07-13 21:52:97 SecurityChannelState: 1
2023-07-13 21:53:11 SecurityChannelState: 1
2023-07-13 21:53:82 SecurityChannelState: 1
2023-07-13 21:53:96 SecurityChannelState: 1
2023-07-13 21:53:38 SecurityChannelState: 1
2023-07-13 21:54:78 SecurityChannelState: 1
2023-07-13 21:54:64 SecurityChannelState: 1
2023-07-13 21:54:70 SecurityChannelState: 1
2023-07-13 21:54:82 SecurityChannelState: 1
