2023-07-13 21:35:45 Antivorovator.py started
2023-07-13 21:35:44 Configuration:{Datacenter:murmansk, NodeName:arnv1, SubSystem:arnv, ControlPoint:1}
2023-07-13 21:35:72 Try to get MetricsUrl
2023-07-13 21:35:00 succesfully get MetricsUrl: http://localhost:31684/metrics
2023-07-13 21:35:54 SecurityChannelState: 1
2023-07-13 21:35:00 SecurityChannelState: 1
2023-07-13 21:35:63 SecurityChannelState: 1
2023-07-13 21:36:95 SecurityChannelState: 1
2023-07-13 21:36:49 SecurityChannelState: 1
2023-07-13 21:36:34 SecurityChannelState: 1
2023-07-13 21:36:66 SecurityChannelState: 1
2023-07-13 21:37:85 SecurityChannelState: 1
2023-07-13 21:37:40 SecurityChannelState: 1
2023-07-13 21:37:97 SecurityChannelState: 1
2023-07-13 21:37:50 SecurityChannelState: 1
2023-07-13 21:38:81 SecurityChannelState: 1
2023-07-13 21:38:43 SecurityChannelState: 1
2023-07-13 21:38:49 SecurityChannelState: 1
2023-07-13 21:38:11 SecurityChannelState: 1
2023-07-13 21:39:00 SecurityChannelState: 1
2023-07-13 21:39:30 SecurityChannelState: 1
2023-07-13 21:39:94 SecurityChannelState: 1
2023-07-13 21:39:57 SecurityChannelState: 1
2023-07-13 21:40:23 SecurityChannelState: 1
2023-07-13 21:40:29 SecurityChannelState: 1
2023-07-13 21:40:86 SecurityChannelState: 1
2023-07-13 21:40:19 SecurityChannelState: 1
2023-07-13 21:41:79 SecurityChannelState: 1
2023-07-13 21:41:90 SecurityChannelState: 1
2023-07-13 21:41:27 SecurityChannelState: 1
2023-07-13 21:41:93 SecurityChannelState: 1
2023-07-13 21:42:74 SecurityChannelState: 1
2023-07-13 21:42:54 SecurityChannelState: 1
2023-07-13 21:42:51 SecurityChannelState: 1
2023-07-13 21:42:34 SecurityChannelState: 1
2023-07-13 21:43:98 SecurityChannelState: 1
2023-07-13 21:43:11 SecurityChannelState: 1
2023-07-13 21:43:36 SecurityChannelState: 1
2023-07-13 21:43:41 SecurityChannelState: 1
2023-07-13 21:44:80 SecurityChannelState: 1
2023-07-13 21:44:01 SecurityChannelState: 1
2023-07-13 21:44:27 SecurityChannelState: 1
2023-07-13 21:44:81 SecurityChannelState: 1
2023-07-13 21:45:41 SecurityChannelState: 1
2023-07-13 21:45:32 SecurityChannelState: 1
2023-07-13 21:45:03 SecurityChannelState: 1
2023-07-13 21:45:84 SecurityChannelState: 1
2023-07-13 21:46:56 SecurityChannelState: 1
2023-07-13 21:46:82 SecurityChannelState: 1
2023-07-13 21:46:14 SecurityChannelState: 1
2023-07-13 21:46:91 SecurityChannelState: 1
2023-07-13 21:47:12 SecurityChannelState: 1
2023-07-13 21:47:23 SecurityChannelState: 1
2023-07-13 21:47:03 SecurityChannelState: 1
2023-07-13 21:47:37 SecurityChannelState: 1
2023-07-13 21:48:06 SecurityChannelState: 1
2023-07-13 21:48:35 SecurityChannelState: 1
2023-07-13 21:48:47 SecurityChannelState: 1
2023-07-13 21:48:08 SecurityChannelState: 1
2023-07-13 21:49:83 SecurityChannelState: 1
2023-07-13 21:49:72 SecurityChannelState: 1
2023-07-13 21:49:37 SecurityChannelState: 1
2023-07-13 21:49:00 SecurityChannelState: 1
2023-07-13 21:50:00 SecurityChannelState: 1
2023-07-13 21:50:24 SecurityChannelState: 1
2023-07-13 21:50:49 SecurityChannelState: 1
2023-07-13 21:50:98 SecurityChannelState: 1
2023-07-13 21:51:31 SecurityChannelState: 1
2023-07-13 21:51:37 SecurityChannelState: 1
2023-07-13 21:51:71 SecurityChannelState: 1
2023-07-13 21:51:56 SecurityChannelState: 1
2023-07-13 21:52:90 SecurityChannelState: 1
2023-07-13 21:52:63 SecurityChannelState: 1
2023-07-13 21:52:58 SecurityChannelState: 1
2023-07-13 21:53:78 SecurityChannelState: 1
2023-07-13 21:53:28 SecurityChannelState: 1
2023-07-13 21:53:86 SecurityChannelState: 1
2023-07-13 21:53:15 SecurityChannelState: 1
2023-07-13 21:54:59 SecurityChannelState: 1
2023-07-13 21:54:29 SecurityChannelState: 1
2023-07-13 21:54:05 SecurityChannelState: 1
2023-07-13 21:54:51 SecurityChannelState: 1
2023-07-13 21:55:13 SecurityChannelState: 1
2023-07-13 21:55:39 SecurityChannelState: 1
2023-07-13 21:55:53 SecurityChannelState: 1
2023-07-13 21:55:56 SecurityChannelState: 1
2023-07-13 21:56:30 SecurityChannelState: 1
2023-07-13 21:56:07 SecurityChannelState: 1
2023-07-13 21:56:25 SecurityChannelState: 1
2023-07-13 21:56:40 SecurityChannelState: 1
2023-07-13 21:57:32 SecurityChannelState: 1
2023-07-13 21:57:28 SecurityChannelState: 1
2023-07-13 21:57:50 SecurityChannelState: 1
2023-07-13 21:57:34 SecurityChannelState: 1
2023-07-13 21:58:15 SecurityChannelState: 1
2023-07-13 21:58:90 SecurityChannelState: 1
2023-07-13 21:58:96 SecurityChannelState: 1
2023-07-13 21:58:08 SecurityChannelState: 1
2023-07-13 21:59:97 SecurityChannelState: 1
2023-07-13 21:59:73 SecurityChannelState: 1
2023-07-13 21:59:29 SecurityChannelState: 1
2023-07-13 21:59:73 SecurityChannelState: 1
2023-07-13 22:00:39 SecurityChannelState: 1
2023-07-13 22:00:49 SecurityChannelState: 1
2023-07-13 22:00:29 SecurityChannelState: 1
2023-07-13 22:00:78 SecurityChannelState: 1
2023-07-13 22:01:05 SecurityChannelState: 1
2023-07-13 22:01:80 SecurityChannelState: 1
2023-07-13 22:01:23 SecurityChannelState: 1
2023-07-13 22:01:75 SecurityChannelState: 1
2023-07-13 22:02:60 SecurityChannelState: 1
2023-07-13 22:02:67 SecurityChannelState: 1
2023-07-13 22:02:31 SecurityChannelState: 1
2023-07-13 22:02:26 SecurityChannelState: 1
2023-07-13 22:03:00 SecurityChannelState: 1
2023-07-13 22:03:89 SecurityChannelState: 1
2023-07-13 22:03:21 SecurityChannelState: 1
2023-07-13 22:03:27 SecurityChannelState: 1
2023-07-13 22:04:63 SecurityChannelState: 1
2023-07-13 22:04:86 SecurityChannelState: 1
2023-07-13 22:04:77 SecurityChannelState: 1
2023-07-13 22:04:40 SecurityChannelState: 1
2023-07-13 22:05:81 SecurityChannelState: 1
2023-07-13 22:05:43 SecurityChannelState: 1
2023-07-13 22:05:53 SecurityChannelState: 1
2023-07-13 22:05:02 SecurityChannelState: 1
2023-07-13 22:06:20 SecurityChannelState: 1
2023-07-13 22:06:19 SecurityChannelState: 1
2023-07-13 22:06:15 SecurityChannelState: 1
2023-07-13 22:06:09 SecurityChannelState: 1
2023-07-13 22:07:17 SecurityChannelState: 1
2023-07-13 22:07:08 SecurityChannelState: 1
2023-07-13 22:07:04 SecurityChannelState: 1
2023-07-13 22:07:38 SecurityChannelState: 1
2023-07-13 22:08:14 SecurityChannelState: 1
2023-07-13 22:08:48 SecurityChannelState: 1
2023-07-13 22:08:00 SecurityChannelState: 1
2023-07-13 22:08:54 SecurityChannelState: 1
2023-07-13 22:09:87 SecurityChannelState: 1
2023-07-13 22:09:17 SecurityChannelState: 1
2023-07-13 22:09:60 SecurityChannelState: 1
2023-07-13 22:09:49 SecurityChannelState: 1
2023-07-13 22:10:08 SecurityChannelState: 1
2023-07-13 22:10:81 SecurityChannelState: 1
2023-07-13 22:10:89 SecurityChannelState: 1
2023-07-13 22:10:73 SecurityChannelState: 1
2023-07-13 22:11:95 SecurityChannelState: 1
2023-07-13 22:11:88 SecurityChannelState: 1
2023-07-13 22:11:09 SecurityChannelState: 1
2023-07-13 22:11:09 SecurityChannelState: 1
2023-07-13 22:12:63 SecurityChannelState: 1
2023-07-13 22:12:55 SecurityChannelState: 1
2023-07-13 22:12:96 SecurityChannelState: 1
2023-07-13 22:12:55 SecurityChannelState: 1
2023-07-13 22:13:38 SecurityChannelState: 1
2023-07-13 22:13:75 SecurityChannelState: 1
2023-07-13 22:13:64 SecurityChannelState: 1
2023-07-13 22:13:96 SecurityChannelState: 1
2023-07-13 22:14:43 SecurityChannelState: 1
2023-07-13 22:14:12 SecurityChannelState: 1
2023-07-13 22:14:75 SecurityChannelState: 1
2023-07-13 22:14:83 SecurityChannelState: 1
2023-07-13 22:15:90 SecurityChannelState: 1
2023-07-13 22:15:01 SecurityChannelState: 1
2023-07-13 22:15:73 SecurityChannelState: 1
2023-07-13 22:15:84 SecurityChannelState: 1
2023-07-13 22:16:04 SecurityChannelState: 1
2023-07-13 22:16:19 SecurityChannelState: 1
2023-07-13 22:16:70 SecurityChannelState: 1
2023-07-13 22:16:41 SecurityChannelState: 1
2023-07-13 22:17:37 SecurityChannelState: 1
2023-07-13 22:17:07 SecurityChannelState: 1
2023-07-13 22:17:07 SecurityChannelState: 1
2023-07-13 22:17:53 SecurityChannelState: 1
2023-07-13 22:18:50 SecurityChannelState: 1
2023-07-13 22:18:15 SecurityChannelState: 1
2023-07-13 22:18:16 SecurityChannelState: 1
2023-07-13 22:18:63 SecurityChannelState: 1
2023-07-13 22:19:82 SecurityChannelState: 1
2023-07-13 22:19:66 SecurityChannelState: 1
2023-07-13 22:19:82 SecurityChannelState: 1
