2023-07-13 21:35:85 Antivorovator.py started
2023-07-13 21:35:15 Configuration:{Datacenter:oreh, NodeName:lkps4, SubSystem:lkps, ControlPoint:4}
2023-07-13 21:35:43 Try to get MetricsUrl
2023-07-13 21:35:06 succesfully get MetricsUrl: http://localhost:27536/metrics
2023-07-13 21:35:03 SecurityChannelState: 1
2023-07-13 21:35:69 SecurityChannelState: 1
2023-07-13 21:35:24 SecurityChannelState: 1
2023-07-13 21:36:16 SecurityChannelState: 1
2023-07-13 21:36:74 SecurityChannelState: 1
2023-07-13 21:36:30 SecurityChannelState: 1
2023-07-13 21:36:24 SecurityChannelState: 1
2023-07-13 21:37:72 SecurityChannelState: 1
2023-07-13 21:37:36 SecurityChannelState: 1
2023-07-13 21:37:22 SecurityChannelState: 1
2023-07-13 21:37:88 SecurityChannelState: 1
2023-07-13 21:38:83 SecurityChannelState: 1
2023-07-13 21:38:99 SecurityChannelState: 1
2023-07-13 21:38:86 SecurityChannelState: 1
2023-07-13 21:38:39 SecurityChannelState: 1
2023-07-13 21:39:68 SecurityChannelState: 1
2023-07-13 21:39:30 SecurityChannelState: 1
2023-07-13 21:39:39 SecurityChannelState: 1
2023-07-13 21:39:45 SecurityChannelState: 1
2023-07-13 21:40:34 SecurityChannelState: 1
2023-07-13 21:40:00 SecurityChannelState: 1
2023-07-13 21:40:29 SecurityChannelState: 1
2023-07-13 21:40:94 SecurityChannelState: 1
2023-07-13 21:41:56 SecurityChannelState: 1
2023-07-13 21:41:79 SecurityChannelState: 1
2023-07-13 21:41:90 SecurityChannelState: 1
2023-07-13 21:41:16 SecurityChannelState: 1
2023-07-13 21:42:67 SecurityChannelState: 1
2023-07-13 21:42:74 SecurityChannelState: 1
2023-07-13 21:42:25 SecurityChannelState: 1
2023-07-13 21:42:43 SecurityChannelState: 1
2023-07-13 21:43:42 SecurityChannelState: 1
2023-07-13 21:43:53 SecurityChannelState: 1
2023-07-13 21:43:42 SecurityChannelState: 1
2023-07-13 21:43:45 SecurityChannelState: 1
2023-07-13 21:44:77 SecurityChannelState: 1
2023-07-13 21:44:03 SecurityChannelState: 1
2023-07-13 21:44:95 SecurityChannelState: 1
2023-07-13 21:44:26 SecurityChannelState: 1
2023-07-13 21:45:89 SecurityChannelState: 1
2023-07-13 21:45:59 SecurityChannelState: 1
2023-07-13 21:45:19 SecurityChannelState: 1
2023-07-13 21:45:98 SecurityChannelState: 1
2023-07-13 21:46:43 SecurityChannelState: 1
2023-07-13 21:46:24 SecurityChannelState: 1
2023-07-13 21:46:98 SecurityChannelState: 1
2023-07-13 21:46:22 SecurityChannelState: 1
2023-07-13 21:47:05 SecurityChannelState: 1
2023-07-13 21:47:56 SecurityChannelState: 1
2023-07-13 21:47:92 SecurityChannelState: 1
2023-07-13 21:47:39 SecurityChannelState: 1
2023-07-13 21:48:71 SecurityChannelState: 1
2023-07-13 21:48:74 SecurityChannelState: 1
2023-07-13 21:48:37 SecurityChannelState: 1
2023-07-13 21:48:65 SecurityChannelState: 1
2023-07-13 21:49:19 SecurityChannelState: 1
2023-07-13 21:49:38 SecurityChannelState: 1
2023-07-13 21:49:21 SecurityChannelState: 1
2023-07-13 21:49:59 SecurityChannelState: 1
2023-07-13 21:50:22 SecurityChannelState: 1
2023-07-13 21:50:44 SecurityChannelState: 1
2023-07-13 21:50:48 SecurityChannelState: 1
2023-07-13 21:50:52 SecurityChannelState: 1
2023-07-13 21:51:26 SecurityChannelState: 1
2023-07-13 21:51:09 SecurityChannelState: 1
2023-07-13 21:51:09 SecurityChannelState: 1
2023-07-13 21:51:77 SecurityChannelState: 1
2023-07-13 21:52:62 SecurityChannelState: 1
