2023-07-13 21:35:14 Antivorovator.py started
2023-07-13 21:35:43 Configuration:{Datacenter:smolensk, NodeName:arnv2, SubSystem:arnv, ControlPoint:2}
2023-07-13 21:35:65 Try to get MetricsUrl
2023-07-13 21:35:74 succesfully get MetricsUrl: http://localhost:29935/metrics
2023-07-13 21:35:84 SecurityChannelState: 1
2023-07-13 21:35:71 SecurityChannelState: 1
2023-07-13 21:35:59 SecurityChannelState: 1
2023-07-13 21:36:35 SecurityChannelState: 1
2023-07-13 21:36:60 SecurityChannelState: 1
2023-07-13 21:36:12 SecurityChannelState: 1
2023-07-13 21:36:07 SecurityChannelState: 1
2023-07-13 21:37:62 SecurityChannelState: 1
2023-07-13 21:37:46 SecurityChannelState: 1
2023-07-13 21:37:83 SecurityChannelState: 1
2023-07-13 21:37:98 SecurityChannelState: 1
2023-07-13 21:38:55 SecurityChannelState: 1
2023-07-13 21:38:23 SecurityChannelState: 1
2023-07-13 21:38:78 SecurityChannelState: 1
2023-07-13 21:38:79 SecurityChannelState: 1
2023-07-13 21:39:77 SecurityChannelState: 1
2023-07-13 21:39:17 SecurityChannelState: 1
2023-07-13 21:39:22 SecurityChannelState: 1
2023-07-13 21:39:35 SecurityChannelState: 1
2023-07-13 21:40:21 SecurityChannelState: 1
2023-07-13 21:40:34 SecurityChannelState: 1
2023-07-13 21:40:78 SecurityChannelState: 1
2023-07-13 21:40:19 SecurityChannelState: 1
2023-07-13 21:41:38 SecurityChannelState: 1
2023-07-13 21:41:72 SecurityChannelState: 1
2023-07-13 21:41:15 SecurityChannelState: 1
2023-07-13 21:41:56 SecurityChannelState: 1
2023-07-13 21:42:79 SecurityChannelState: 1
2023-07-13 21:42:80 SecurityChannelState: 1
2023-07-13 21:42:41 SecurityChannelState: 1
2023-07-13 21:42:97 SecurityChannelState: 1
2023-07-13 21:43:59 SecurityChannelState: 1
2023-07-13 21:43:94 SecurityChannelState: 1
2023-07-13 21:43:10 SecurityChannelState: 1
2023-07-13 21:43:51 SecurityChannelState: 1
2023-07-13 21:44:30 SecurityChannelState: 1
2023-07-13 21:44:68 SecurityChannelState: 1
2023-07-13 21:44:67 SecurityChannelState: 1
2023-07-13 21:44:08 SecurityChannelState: 1
2023-07-13 21:45:23 SecurityChannelState: 1
2023-07-13 21:45:58 SecurityChannelState: 1
2023-07-13 21:45:41 SecurityChannelState: 1
2023-07-13 21:45:61 SecurityChannelState: 1
2023-07-13 21:46:52 SecurityChannelState: 1
2023-07-13 21:46:90 SecurityChannelState: 1
2023-07-13 21:46:30 SecurityChannelState: 1
