2023-07-13 21:35:11 Antivorovator.py started
2023-07-13 21:35:27 Configuration:{Datacenter:vhodnaya, NodeName:lkps2, SubSystem:lkps, ControlPoint:2}
2023-07-13 21:35:56 Try to get MetricsUrl
2023-07-13 21:35:37 succesfully get MetricsUrl: http://localhost:31987/metrics
2023-07-13 21:35:00 SecurityChannelState: 1
2023-07-13 21:35:35 SecurityChannelState: 1
2023-07-13 21:35:61 SecurityChannelState: 1
2023-07-13 21:36:36 SecurityChannelState: 1
2023-07-13 21:36:49 SecurityChannelState: 1
2023-07-13 21:36:28 SecurityChannelState: 1
2023-07-13 21:36:67 SecurityChannelState: 1
2023-07-13 21:37:95 SecurityChannelState: 1
2023-07-13 21:37:03 SecurityChannelState: 1
2023-07-13 21:37:67 SecurityChannelState: 1
2023-07-13 21:37:78 SecurityChannelState: 1
2023-07-13 21:38:73 SecurityChannelState: 1
2023-07-13 21:38:07 SecurityChannelState: 1
2023-07-13 21:38:95 SecurityChannelState: 1
2023-07-13 21:38:07 SecurityChannelState: 1
2023-07-13 21:39:32 SecurityChannelState: 1
2023-07-13 21:39:91 SecurityChannelState: 1
2023-07-13 21:39:22 SecurityChannelState: 1
2023-07-13 21:39:29 SecurityChannelState: 1
2023-07-13 21:40:33 SecurityChannelState: 1
2023-07-13 21:40:43 SecurityChannelState: 1
2023-07-13 21:40:97 SecurityChannelState: 1
2023-07-13 21:40:78 SecurityChannelState: 1
2023-07-13 21:41:01 SecurityChannelState: 1
2023-07-13 21:41:59 SecurityChannelState: 1
2023-07-13 21:41:06 SecurityChannelState: 1
2023-07-13 21:41:08 SecurityChannelState: 1
2023-07-13 21:42:79 SecurityChannelState: 1
2023-07-13 21:42:01 SecurityChannelState: 1
2023-07-13 21:42:91 SecurityChannelState: 1
2023-07-13 21:42:42 SecurityChannelState: 1
2023-07-13 21:43:09 SecurityChannelState: 1
2023-07-13 21:43:29 SecurityChannelState: 1
2023-07-13 21:43:61 SecurityChannelState: 1
2023-07-13 21:43:34 SecurityChannelState: 1
2023-07-13 21:44:70 SecurityChannelState: 1
2023-07-13 21:44:17 SecurityChannelState: 1
2023-07-13 21:44:04 SecurityChannelState: 1
2023-07-13 21:44:58 SecurityChannelState: 1
2023-07-13 21:45:29 SecurityChannelState: 1
2023-07-13 21:45:97 SecurityChannelState: 1
2023-07-13 21:45:29 SecurityChannelState: 1
2023-07-13 21:45:27 SecurityChannelState: 1
2023-07-13 21:46:57 SecurityChannelState: 1
2023-07-13 21:46:77 SecurityChannelState: 1
2023-07-13 21:46:17 SecurityChannelState: 1
2023-07-13 21:46:21 SecurityChannelState: 1
2023-07-13 21:47:07 SecurityChannelState: 1
2023-07-13 21:47:52 SecurityChannelState: 1
2023-07-13 21:47:47 SecurityChannelState: 1
2023-07-13 21:47:65 SecurityChannelState: 1
2023-07-13 21:48:32 SecurityChannelState: 1
2023-07-13 21:48:89 SecurityChannelState: 1
2023-07-13 21:48:90 SecurityChannelState: 1
2023-07-13 21:48:82 SecurityChannelState: 1
2023-07-13 21:49:76 SecurityChannelState: 1
2023-07-13 21:49:05 SecurityChannelState: 1
2023-07-13 21:49:49 SecurityChannelState: 1
2023-07-13 21:49:98 SecurityChannelState: 1
2023-07-13 21:50:87 SecurityChannelState: 1
2023-07-13 21:50:13 SecurityChannelState: 1
2023-07-13 21:50:97 SecurityChannelState: 1
2023-07-13 21:50:21 SecurityChannelState: 1
2023-07-13 21:51:58 SecurityChannelState: 1
2023-07-13 21:51:53 SecurityChannelState: 1
2023-07-13 21:51:33 SecurityChannelState: 1
2023-07-13 21:51:23 SecurityChannelState: 1
2023-07-13 21:52:09 SecurityChannelState: 1
2023-07-13 21:52:30 SecurityChannelState: 1
2023-07-13 21:52:18 SecurityChannelState: 1
2023-07-13 21:52:20 SecurityChannelState: 1
2023-07-13 21:53:28 SecurityChannelState: 1
2023-07-13 21:53:07 SecurityChannelState: 1
2023-07-13 21:53:20 SecurityChannelState: 1
2023-07-13 21:53:23 SecurityChannelState: 1
2023-07-13 21:54:13 SecurityChannelState: 1
2023-07-13 21:54:61 SecurityChannelState: 1
2023-07-13 21:54:87 SecurityChannelState: 1
2023-07-13 21:54:99 SecurityChannelState: 1
2023-07-13 21:55:98 SecurityChannelState: 1
2023-07-13 21:55:60 SecurityChannelState: 1
